kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-2.4.sm_75.ptx 223 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 222 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 216 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 201 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 200 : 32 224 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 199 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 198 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 197 : 32 3488 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 196 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 195 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 194 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 193 : 32 192 0 0 0 1 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 192 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 191 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 190 : 32 448 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 189 : 32 224 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 188 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 187 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 186 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 185 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 184 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 183 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 182 : 32 2400 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 181 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 180 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 179 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 178 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 177 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 176 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 175 : 32 192 0 0 0 1 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 174 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 173 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 172 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 171 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 170 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 169 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 168 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 167 : 32 288 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 166 : 32 192 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 165 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 164 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 163 : 32 224 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 162 : 32 288 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 161 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 160 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 159 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 158 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 157 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 156 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 155 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 154 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 153 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 152 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 132 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 129 : 1 3 0 0 0 1 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 128 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 127 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 126 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 71 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 70 : 32 96 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 69 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 68 : 32 192 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 67 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 66 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 65 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 231 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 64 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 63 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 62 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 228 : 32 224 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 61 : 32 192 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 227 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 60 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 226 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 59 : 32 288 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 225 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 58 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 224 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 57 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 221 : 32 448 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 54 : 1 3 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 220 : 32 224 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 53 : 1 6 0 0 0 1 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 219 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 52 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 207 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 40 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 119 : 32 155 0 0 0 0 0 0 1 
backprop-rodinia-2.4.sm_75.ptx 206 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 39 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 118 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 38 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 117 : 32 224 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 204 : 32 0 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 37 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 116 : 32 1056 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 72 : 32 1056 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 202 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 35 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 73 : 32 1056 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 203 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 36 : 32 96 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 115 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 208 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 41 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 120 : 1 5 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 209 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 42 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 210 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 43 : 32 192 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 211 : 32 320 0 0 0 5 1 0 0 
backprop-rodinia-2.4.sm_75.ptx 44 : 32 224 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 123 : 1 5 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 212 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 45 : 32 224 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 124 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 213 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 46 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 125 : 1 33 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 214 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 47 : 32 192 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 215 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 48 : 32 155 0 0 0 0 0 0 1 
backprop-rodinia-2.4.sm_75.ptx 217 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 50 : 1 5 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 218 : 32 2176 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 51 : 1 8 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 74 : 32 256 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 75 : 32 96 0 1 1 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 76 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 77 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 78 : 32 800 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 79 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 80 : 32 0 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 82 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 83 : 32 800 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 84 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 85 : 32 160 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 88 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 89 : 128 3200 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 90 : 128 640 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 91 : 128 3200 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 92 : 128 640 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 93 : 128 0 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 95 : 128 4224 0 4 4 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 96 : 128 640 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 97 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 98 : 128 640 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 99 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 100 : 128 640 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 101 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 102 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 103 : 128 4224 0 4 4 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 104 : 128 1024 0 0 0 0 0 0 0 
backprop-rodinia-2.4.sm_75.ptx 105 : 128 384 0 4 4 0 0 0 0 
