kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-2.4.sm_75.ptx 130 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 123 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 100 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 97 : 10 45 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 96 : 10 50 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 95 : 10 90 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 94 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 93 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 90 : 10 60 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 89 : 10 60 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 88 : 10 30 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 87 : 10 60 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 86 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 85 : 10 30 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 84 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 83 : 10 90 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 82 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 81 : 10 60 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 79 : 10 0 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 78 : 10 50 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 77 : 10 60 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 76 : 10 80 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 75 : 10 50 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 74 : 10 60 0 0 0 10 10 0 0 
bfs-rodinia-2.4.sm_75.ptx 150 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 71 : 1 7 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 70 : 1 7 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 126 : 32 256 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 47 : 32 256 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 125 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 46 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 124 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 45 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 122 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 43 : 32 0 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 121 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 42 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 120 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 41 : 32 256 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 119 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 40 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 118 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 39 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 38 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 37 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 32 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 69 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 31 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 68 : 1 8 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 33 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 34 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 35 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 36 : 32 96 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 127 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 48 : 32 192 0 0 0 1 1 0 0 
bfs-rodinia-2.4.sm_75.ptx 128 : 32 0 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 49 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 50 : 32 155 0 0 0 0 0 0 1 
bfs-rodinia-2.4.sm_75.ptx 131 : 32 160 0 0 0 0 0 0 0 
bfs-rodinia-2.4.sm_75.ptx 52 : 1 5 0 0 0 0 0 0 0 
