kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-2.4.sm_75.ptx 185 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 184 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 183 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 182 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 181 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 180 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 177 : 368 1840 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 176 : 1280 4560 0 0 0 0 0 0 40 
hotspot-rodinia-2.4.sm_75.ptx 175 : 1280 6400 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 174 : 1280 6400 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 173 : 1280 6400 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 172 : 1280 10240 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 171 : 1280 6400 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 170 : 1280 10240 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 169 : 1280 6400 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 166 : 224 5600 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 165 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 164 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 163 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 162 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 161 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 160 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 159 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 158 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 157 : 224 5600 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 156 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 155 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 154 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 153 : 224 2016 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 152 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 151 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 150 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 149 : 224 1344 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 148 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 147 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 146 : 224 5600 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 145 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 144 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 143 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 142 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 141 : 224 2016 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 140 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 139 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 138 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 137 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 82 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 81 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 80 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 79 : 224 1792 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 78 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 77 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 76 : 224 1120 0 0 0 0 0 0 0 
hotspot-rodinia-2.4.sm_75.ptx 75 : 224 2016 0 0 0 0 0 0 0 
