kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lud-rodinia-2.8.sm_75.ptx 1606 : 96 480 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1605 : 96 576 0 0 0 12 3 0 0 
lud-rodinia-2.8.sm_75.ptx 1604 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1603 : 96 864 0 0 0 12 3 0 0 
lud-rodinia-2.8.sm_75.ptx 1602 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1601 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1600 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1599 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1598 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1597 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1596 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1595 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1594 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1593 : 96 768 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1592 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 1591 : 96 3168 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 742 : 48 384 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 741 : 48 384 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 740 : 48 1584 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 739 : 48 384 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 738 : 48 384 0 0 0 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 737 : 48 1584 0 3 3 0 0 0 0 
lud-rodinia-2.8.sm_75.ptx 736 : 48 384 0 0 0 0 0 0 0 
