kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nn-rodinia-2.4.sm_75.ptx 141 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 138 : 128 768 0 0 0 16 4 0 0 
nn-rodinia-2.4.sm_75.ptx 137 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 136 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 135 : 128 3200 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 134 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 133 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 68 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 60 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 59 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 58 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 57 : 128 28544 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 56 : 128 24576 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 55 : 128 20608 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 54 : 128 16640 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 53 : 128 12672 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 132 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 52 : 128 33280 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 131 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 51 : 128 8832 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 130 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 50 : 128 4736 0 0 0 128 4 0 0 
nn-rodinia-2.4.sm_75.ptx 129 : 128 5504 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 49 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 128 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 74 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 37 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 73 : 122 976 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 36 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 115 : 128 0 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 72 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 35 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 114 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 71 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 34 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 69 : 128 30 0 0 0 0 0 0 3 
nn-rodinia-2.4.sm_75.ptx 32 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 111 : 122 976 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 33 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 75 : 122 976 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 38 : 128 384 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 117 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 39 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 118 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 40 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 119 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 78 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 41 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 120 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 42 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 121 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 43 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 44 : 128 0 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 46 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 125 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 47 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 126 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 48 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 127 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 79 : 128 0 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 81 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 82 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 83 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 84 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 85 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 88 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 89 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 90 : 128 225 0 0 0 0 0 0 4 
nn-rodinia-2.4.sm_75.ptx 92 : 83 415 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 93 : 83 415 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 94 : 83 664 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 95 : 83 415 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 98 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 99 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 100 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 101 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 102 : 128 640 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 103 : 128 5504 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 104 : 128 1024 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 105 : 128 30 0 0 0 0 0 0 3 
nn-rodinia-2.4.sm_75.ptx 107 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 108 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 109 : 122 976 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 110 : 122 610 0 0 0 0 0 0 0 
nn-rodinia-2.4.sm_75.ptx 124 : 128 640 0 0 0 0 0 0 0 
