kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw-rodinia-2.4.sm_75.ptx 1350 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1349 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1348 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1347 : 224 7392 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1346 : 224 672 0 0 0 28 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1345 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1344 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1343 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1342 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1341 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1340 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1339 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1338 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1337 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1336 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1335 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1334 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1333 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1332 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1331 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1330 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1329 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1328 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1327 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1326 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1325 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1324 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1323 : 224 7392 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1322 : 224 672 0 0 0 28 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1321 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1320 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1319 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1318 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1317 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1316 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1315 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1314 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1313 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1312 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1311 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1310 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1309 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1308 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1307 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1306 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1305 : 224 7616 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1304 : 224 896 0 0 0 35 7 0 0 
nw-rodinia-2.4.sm_75.ptx 1303 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1302 : 224 7392 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1301 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1300 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1299 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1298 : 224 1792 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1297 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1296 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1295 : 224 672 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1294 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1291 : 7 21 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1290 : 7 56 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1289 : 7 63 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1288 : 7 56 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1287 : 7 231 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1286 : 7 56 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1285 : 7 231 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1284 : 7 56 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1283 : 7 231 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1282 : 7 231 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1280 : 224 1085 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1279 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1276 : 14 42 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1275 : 14 112 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1274 : 14 126 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1273 : 14 112 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1272 : 14 462 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1271 : 14 112 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1270 : 14 462 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1269 : 14 112 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1268 : 14 462 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1267 : 14 462 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1265 : 224 1050 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1264 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1261 : 21 63 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1260 : 21 168 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1259 : 21 189 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1258 : 21 168 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1257 : 21 693 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1256 : 21 168 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1255 : 21 693 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1254 : 21 168 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1253 : 21 693 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1252 : 21 693 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1250 : 224 1015 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1249 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1246 : 28 84 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1245 : 28 224 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1244 : 28 252 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1243 : 28 224 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1242 : 28 924 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1241 : 28 224 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1240 : 28 924 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1239 : 28 224 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1238 : 28 924 0 14 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1237 : 28 924 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1235 : 224 980 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1234 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1231 : 35 105 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1230 : 35 280 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1229 : 35 315 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1228 : 35 280 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1227 : 35 1155 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1226 : 35 280 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1225 : 35 1155 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1224 : 35 280 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1223 : 35 1155 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1222 : 35 1155 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1220 : 224 945 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1219 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1216 : 42 126 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1215 : 42 336 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1214 : 42 378 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1213 : 42 336 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1212 : 42 1386 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1211 : 42 336 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1210 : 42 1386 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1209 : 42 336 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1208 : 42 1386 0 21 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1207 : 42 1386 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1205 : 224 910 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1204 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1201 : 49 147 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1200 : 49 392 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1199 : 49 441 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1198 : 49 392 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1197 : 49 1617 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1196 : 49 392 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1195 : 49 1617 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1194 : 49 392 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1193 : 49 1617 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1192 : 49 1617 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1190 : 224 875 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1189 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1186 : 56 168 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1185 : 56 448 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1184 : 56 504 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1183 : 56 448 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1182 : 56 1848 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1181 : 56 448 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1180 : 56 1848 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1179 : 56 448 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1178 : 56 1848 0 28 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1177 : 56 1848 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1175 : 224 840 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1174 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1171 : 63 189 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1170 : 63 504 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1169 : 63 567 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1168 : 63 504 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1167 : 63 2079 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1166 : 63 504 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1165 : 63 2079 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1164 : 63 504 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1163 : 63 2079 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1162 : 63 2079 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1160 : 224 805 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1159 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1156 : 70 210 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1155 : 70 560 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1154 : 70 630 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1153 : 70 560 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1152 : 70 2310 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1151 : 70 560 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1150 : 70 2310 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1149 : 70 560 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1148 : 70 2310 0 35 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1147 : 70 2310 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1145 : 224 770 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1144 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1141 : 77 231 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1140 : 77 616 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1139 : 77 693 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1138 : 77 616 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1137 : 77 2541 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1136 : 77 616 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1135 : 77 2541 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1134 : 77 616 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1133 : 77 2541 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1132 : 77 2541 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1130 : 224 735 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1129 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1126 : 84 252 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1125 : 84 672 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1124 : 84 756 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1123 : 84 672 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1122 : 84 2772 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1121 : 84 672 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1120 : 84 2772 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1119 : 84 672 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1118 : 84 2772 0 42 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1117 : 84 2772 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1115 : 224 700 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1114 : 224 1120 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1111 : 91 273 0 49 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1110 : 91 728 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1109 : 91 819 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1108 : 91 728 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1107 : 91 3003 0 49 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1106 : 91 728 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1105 : 91 3003 0 49 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1104 : 91 728 0 0 0 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1103 : 91 3003 0 49 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1102 : 91 3003 0 7 7 0 0 0 0 
nw-rodinia-2.4.sm_75.ptx 1100 : 224 665 0 0 0 0 0 0 7 
nw-rodinia-2.4.sm_75.ptx 1099 : 224 1120 0 0 0 0 0 0 0 
