kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v2-rodinia-2.4.sm_75.ptx 519 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 510 : 64 2112 0 2 2 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 496 : 64 256 0 0 0 8 2 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 495 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 489 : 62 496 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 488 : 62 558 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 485 : 62 496 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 484 : 62 496 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 483 : 62 496 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 475 : 62 372 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 474 : 62 0 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 456 : 64 2112 0 2 2 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 455 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 449 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 448 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 445 : 64 192 0 2 2 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 444 : 64 256 0 0 0 2 2 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 443 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 442 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 441 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 440 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 439 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 438 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 436 : 64 0 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 435 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 392 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 391 : 64 576 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 390 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 389 : 64 384 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 388 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 387 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 386 : 64 384 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 385 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 384 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 383 : 64 384 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 382 : 64 512 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 381 : 64 320 0 0 0 0 0 0 0 
srad_v2-rodinia-2.4.sm_75.ptx 380 : 64 320 0 0 0 0 0 0 0 
