kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
streamcluster-rodinia-2.4.sm_75.ptx 299 : 7360 105632 0 0 0 2151 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 298 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 277 : 1331 6655 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 276 : 1331 3993 0 0 0 128 128 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 269 : 7360 6655 0 0 0 0 0 0 128 
streamcluster-rodinia-2.4.sm_75.ptx 266 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 265 : 7360 272320 0 0 0 7360 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 264 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 263 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 262 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 261 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 260 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 259 : 7360 44160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 258 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 257 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 256 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 255 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 252 : 29440 110400 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 251 : 29440 147200 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 250 : 29440 294400 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 249 : 29440 264960 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 248 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 247 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 246 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 245 : 29440 264960 0 0 0 3680 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 244 : 29440 971520 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 243 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 242 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 241 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 240 : 29440 264960 0 0 0 3680 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 239 : 29440 971520 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 238 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 237 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 236 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 235 : 29440 264960 0 0 0 3680 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 234 : 29440 971520 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 275 : 1331 7986 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 108 : 230 1840 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 274 : 1331 10648 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 107 : 230 2300 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 273 : 1331 6655 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 106 : 230 2070 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 105 : 230 1840 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 104 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 270 : 6029 30145 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 103 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 268 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 101 : 230 0 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 267 : 7360 272320 0 0 0 7360 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 100 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 301 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 134 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 300 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 133 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 114 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 35 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 40 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 286 : 6029 48232 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 119 : 920 2760 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 280 : 1331 6655 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 113 : 920 4600 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 39 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 285 : 6029 30145 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 118 : 920 5520 0 0 0 920 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 279 : 1331 6655 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 112 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 38 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 284 : 6029 30145 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 117 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 278 : 1331 6655 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 111 : 920 4600 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 37 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 283 : 6029 194888 0 0 0 6029 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 116 : 920 2760 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 36 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 115 : 920 5520 0 0 0 920 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 41 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 287 : 6029 38576 0 0 0 308 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 120 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 288 : 6029 30145 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 121 : 920 5520 0 0 0 920 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 210 : 7360 0 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 43 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 122 : 920 2760 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 44 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 123 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 212 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 45 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 291 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 124 : 920 5520 0 0 0 920 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 213 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 46 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 292 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 125 : 920 2760 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 293 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 126 : 920 7360 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 294 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 127 : 920 8280 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 295 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 128 : 920 9200 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 296 : 7360 44160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 129 : 920 4600 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 297 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 130 : 920 3450 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 42 : 7360 22080 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 209 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 302 : 7360 83552 0 0 0 2151 230 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 135 : 7360 0 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 47 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 214 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 303 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 136 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 48 : 7360 35650 0 0 0 0 0 0 230 
streamcluster-rodinia-2.4.sm_75.ptx 215 : 7360 44160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 139 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 218 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 140 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 52 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 219 : 7360 44160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 141 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 53 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 220 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 142 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 54 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 221 : 7360 44160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 143 : 7360 36800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 55 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 222 : 7360 58880 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 49 : 230 1150 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 216 : 7360 51520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 217 : 7360 51520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 223 : 7360 66240 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 224 : 7360 51520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 227 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 228 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 229 : 29440 971520 0 920 920 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 230 : 29440 264960 0 0 0 3680 920 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 231 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 232 : 29440 235520 0 0 0 0 0 0 0 
streamcluster-rodinia-2.4.sm_75.ptx 233 : 29440 235520 0 0 0 0 0 0 0 
