kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vecadd-rodinia-2.4.sm_75.ptx 44 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 43 : 32 192 0 0 0 4 1 0 0 
vecadd-rodinia-2.4.sm_75.ptx 42 : 32 288 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 31 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 30 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 29 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 28 : 32 96 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 26 : 32 96 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 27 : 32 96 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 32 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 33 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 34 : 32 160 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 35 : 32 256 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 36 : 32 256 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 37 : 32 256 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 38 : 32 288 0 0 0 4 1 0 0 
vecadd-rodinia-2.4.sm_75.ptx 39 : 32 256 0 0 0 0 0 0 0 
vecadd-rodinia-2.4.sm_75.ptx 40 : 32 288 0 0 0 4 1 0 0 
vecadd-rodinia-2.4.sm_75.ptx 41 : 32 256 0 0 0 0 0 0 0 
